✅ Loaded: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_128_12000_iters/gan_step_002500.pt
▶️ Resume: step 2501 -> 11999
step 2510 | loss_D 1.2668 | loss_G 0.7779 | D(real) +0.051 | D(fake) -0.241
step 2520 | loss_D 0.8847 | loss_G 1.1308 | D(real) +1.030 | D(fake) -0.321
step 2530 | loss_D 0.8540 | loss_G 1.2237 | D(real) +0.876 | D(fake) -0.459
step 2540 | loss_D 1.2627 | loss_G 1.0067 | D(real) -0.065 | D(fake) -0.349
step 2550 | loss_D 1.3379 | loss_G 0.7821 | D(real) +0.273 | D(fake) +0.090
step 2560 | loss_D 1.4662 | loss_G 0.8350 | D(real) -0.111 | D(fake) +0.026
step 2570 | loss_D 1.4360 | loss_G 0.9077 | D(real) -0.210 | D(fake) -0.173
step 2580 | loss_D 1.2204 | loss_G 1.0562 | D(real) +0.464 | D(fake) +0.014
step 2590 | loss_D 1.4519 | loss_G 0.9529 | D(real) -0.163 | D(fake) -0.081
step 2600 | loss_D 1.0611 | loss_G 0.9488 | D(real) +0.577 | D(fake) -0.197
step 2610 | loss_D 1.4531 | loss_G 0.8496 | D(real) -0.121 | D(fake) -0.003
step 2620 | loss_D 1.5839 | loss_G 0.8463 | D(real) -0.333 | D(fake) -0.019
step 2630 | loss_D 1.6198 | loss_G 1.1080 | D(real) +0.156 | D(fake) +0.431
step 2640 | loss_D 1.1308 | loss_G 1.0118 | D(real) +0.820 | D(fake) +0.108
step 2650 | loss_D 1.4528 | loss_G 1.1306 | D(real) -0.198 | D(fake) -0.123
step 2660 | loss_D 1.2787 | loss_G 0.9003 | D(real) -0.123 | D(fake) -0.406
step 2670 | loss_D 1.2577 | loss_G 0.7465 | D(real) +0.506 | D(fake) +0.126
step 2680 | loss_D 1.3906 | loss_G 0.8725 | D(real) +0.227 | D(fake) +0.153
step 2690 | loss_D 1.5941 | loss_G 1.2928 | D(real) -0.837 | D(fake) -0.774
