t=00000 | eps=0.200 | r=0.475 | r_ma=0.475 | H=0.00
t=00050 | eps=0.199 | r=0.475 | r_ma=0.462 | H=0.48
t=00100 | eps=0.197 | r=0.475 | r_ma=0.455 | H=0.88
t=00150 | eps=0.196 | r=0.475 | r_ma=0.451 | H=0.94
t=00200 | eps=0.194 | r=0.475 | r_ma=0.454 | H=0.83
t=00250 | eps=0.193 | r=0.475 | r_ma=0.450 | H=0.89
t=00300 | eps=0.191 | r=0.475 | r_ma=0.454 | H=0.92
t=00350 | eps=0.190 | r=0.475 | r_ma=0.456 | H=0.95
t=00400 | eps=0.188 | r=0.475 | r_ma=0.457 | H=0.98
t=00450 | eps=0.187 | r=0.475 | r_ma=0.460 | H=1.05
t=00500 | eps=0.185 | r=0.475 | r_ma=0.460 | H=1.06
t=00550 | eps=0.184 | r=0.475 | r_ma=0.458 | H=1.18
t=00600 | eps=0.182 | r=0.475 | r_ma=0.452 | H=1.20
t=00650 | eps=0.180 | r=0.475 | r_ma=0.454 | H=1.19
t=00700 | eps=0.179 | r=0.475 | r_ma=0.455 | H=1.15
t=00750 | eps=0.177 | r=0.338 | r_ma=0.453 | H=1.23
t=00800 | eps=0.176 | r=0.475 | r_ma=0.455 | H=1.24
t=00850 | eps=0.175 | r=0.475 | r_ma=0.453 | H=1.26
t=00900 | eps=0.173 | r=0.475 | r_ma=0.446 | H=1.30
t=00950 | eps=0.172 | r=0.475 | r_ma=0.451 | H=1.29
t=01000 | eps=0.170 | r=0.299 | r_ma=0.449 | H=1.30
t=01050 | eps=0.169 | r=0.475 | r_ma=0.454 | H=1.27
t=01100 | eps=0.167 | r=0.257 | r_ma=0.455 | H=1.28
t=01150 | eps=0.166 | r=0.398 | r_ma=0.455 | H=1.29
t=01200 | eps=0.164 | r=0.431 | r_ma=0.455 | H=1.32
t=01250 | eps=0.163 | r=0.281 | r_ma=0.449 | H=1.34
t=01300 | eps=0.161 | r=0.351 | r_ma=0.450 | H=1.36
t=01350 | eps=0.160 | r=0.475 | r_ma=0.449 | H=1.36
t=01400 | eps=0.158 | r=0.475 | r_ma=0.453 | H=1.35
t=01450 | eps=0.157 | r=0.475 | r_ma=0.456 | H=1.34
t=01500 | eps=0.155 | r=0.245 | r_ma=0.453 | H=1.36
t=01550 | eps=0.154 | r=0.475 | r_ma=0.455 | H=1.34
t=01600 | eps=0.152 | r=0.475 | r_ma=0.455 | H=1.34
t=01650 | eps=0.151 | r=0.475 | r_ma=0.455 | H=1.33
t=01700 | eps=0.149 | r=0.475 | r_ma=0.462 | H=1.31
t=01750 | eps=0.148 | r=0.475 | r_ma=0.456 | H=1.32
t=01800 | eps=0.146 | r=0.475 | r_ma=0.459 | H=1.31
t=01850 | eps=0.145 | r=0.475 | r_ma=0.456 | H=1.31
t=01900 | eps=0.143 | r=0.475 | r_ma=0.454 | H=1.30
t=01950 | eps=0.142 | r=0.475 | r_ma=0.453 | H=1.32
t=02000 | eps=0.140 | r=0.475 | r_ma=0.453 | H=1.31
t=02050 | eps=0.139 | r=0.475 | r_ma=0.457 | H=1.31
t=02100 | eps=0.137 | r=0.475 | r_ma=0.458 | H=1.30
t=02150 | eps=0.136 | r=0.475 | r_ma=0.464 | H=1.31
t=02200 | eps=0.134 | r=0.475 | r_ma=0.464 | H=1.30
t=02250 | eps=0.133 | r=0.475 | r_ma=0.460 | H=1.31
t=02300 | eps=0.131 | r=0.475 | r_ma=0.458 | H=1.31
t=02350 | eps=0.130 | r=0.475 | r_ma=0.459 | H=1.31
t=02400 | eps=0.128 | r=0.475 | r_ma=0.458 | H=1.31
t=02450 | eps=0.127 | r=0.552 | r_ma=0.465 | H=1.29
t=02500 | eps=0.125 | r=0.475 | r_ma=0.465 | H=1.30
t=02550 | eps=0.124 | r=0.475 | r_ma=0.462 | H=1.29
t=02600 | eps=0.122 | r=0.475 | r_ma=0.463 | H=1.28
t=02650 | eps=0.121 | r=0.348 | r_ma=0.458 | H=1.29
t=02700 | eps=0.119 | r=0.475 | r_ma=0.453 | H=1.30
t=02750 | eps=0.118 | r=0.475 | r_ma=0.451 | H=1.31
t=02800 | eps=0.116 | r=0.475 | r_ma=0.449 | H=1.30
t=02850 | eps=0.115 | r=0.475 | r_ma=0.448 | H=1.30
t=02900 | eps=0.113 | r=0.475 | r_ma=0.455 | H=1.29
t=02950 | eps=0.112 | r=0.520 | r_ma=0.458 | H=1.30
t=03000 | eps=0.110 | r=0.475 | r_ma=0.460 | H=1.29
t=03050 | eps=0.109 | r=0.475 | r_ma=0.463 | H=1.28
t=03100 | eps=0.107 | r=0.475 | r_ma=0.463 | H=1.27
t=03150 | eps=0.106 | r=0.475 | r_ma=0.466 | H=1.27
t=03200 | eps=0.104 | r=0.475 | r_ma=0.464 | H=1.27
t=03250 | eps=0.103 | r=0.475 | r_ma=0.462 | H=1.27
t=03300 | eps=0.101 | r=0.475 | r_ma=0.464 | H=1.25
t=03350 | eps=0.100 | r=0.475 | r_ma=0.463 | H=1.25
